Id,Age,Attrition,BusinessTravel,E,Department,DistanceFromHome,Education,Education_code,EducationField,EmployeeNumber,EnvironmentSatisfaction,EnvironmentSatisfaction_code,Gender,HourlyRate,JobInvolvement,JobInvolvement_code,JobLevel,JobRole,JobSatisfaction,JobSatisfaction_code,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,PerformanceRating_code,RelationshipSatisfaction,RelationshipSatisfaction_code,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,WorkLifeBalance_code,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,52,No,Travel_Rarely,1323,Research & Development,2,Bachelor,3,Life Sciences,316,High,3,Female,89,Medium,2,1,Laboratory Technician,Very High,4,Single,3212,3300,7,No,15,Excellent,3,Medium,2,0,6,3,Good,2,2,2,2,2
2,45,Yes,Travel_Frequently,306,Sales,26,Master,4,Life Sciences,684,Low,1,Female,100,High,3,2,Sales Executive,Low,1,Married,4286,5630,2,No,14,Excellent,3,Very High,4,2,5,4,Better,3,1,1,0,0
3,51,No,Travel_Rarely,684,Research & Development,6,Bachelor,3,Life Sciences,162,Low,1,Male,51,High,3,5,Research Director,High,3,Single,19537,6462,7,No,13,Excellent,3,High,3,0,23,5,Better,3,20,18,15,15
4,50,No,Travel_Rarely,797,Research & Development,4,Below College,1,Life Sciences,385,Low,1,Male,96,High,3,5,Research Director,Medium,2,Divorced,19144,15815,3,No,14,Excellent,3,Low,1,2,28,4,Good,2,10,4,1,6
5,30,Yes,Travel_Frequently,334,Sales,26,Master,4,Marketing,299,High,3,Female,52,Medium,2,2,Sales Executive,Low,1,Single,6696,22967,5,No,15,Excellent,3,High,3,0,9,5,Good,2,6,3,0,1
6,26,No,Travel_Rarely,1167,Sales,5,Bachelor,3,Other,2060,Very High,4,Female,30,Medium,2,1,Sales Representative,High,3,Single,2966,21378,0,No,18,Excellent,3,Very High,4,0,5,2,Better,3,4,2,0,0
7,35,No,Travel_Rarely,144,Research & Development,22,Bachelor,3,Life Sciences,577,Very High,4,Male,46,Low,1,1,Laboratory Technician,High,3,Single,4230,19225,0,No,15,Excellent,3,High,3,0,6,2,Better,3,5,4,4,3
8,48,No,Travel_Rarely,1469,Research & Development,20,Master,4,Medical,945,Very High,4,Male,51,High,3,1,Research Scientist,High,3,Married,2259,5543,4,No,17,Excellent,3,Low,1,2,13,2,Good,2,0,0,0,0
9,29,Yes,Travel_Rarely,805,Research & Development,1,College,2,Life Sciences,816,Medium,2,Female,36,Medium,2,1,Laboratory Technician,Low,1,Married,2319,6689,1,Yes,11,Excellent,3,Very High,4,1,1,1,Better,3,1,0,0,0
10,31,No,Travel_Frequently,853,Research & Development,1,Below College,1,Life Sciences,1011,High,3,Female,96,High,3,2,Manufacturing Director,Low,1,Married,4148,11275,1,No,12,Excellent,3,High,3,1,4,1,Better,3,4,3,0,3
11,24,Yes,Travel_Rarely,693,Sales,3,College,2,Life Sciences,720,Low,1,Female,65,High,3,2,Sales Executive,High,3,Single,4577,24785,9,No,14,Excellent,3,Low,1,0,4,3,Better,3,2,2,2,0
12,44,No,Travel_Rarely,1459,Research & Development,10,Master,4,Other,40,Very High,4,Male,41,High,3,2,Healthcare Representative,Very High,4,Married,6465,19121,2,Yes,13,Excellent,3,Very High,4,0,9,5,Best,4,4,2,1,3
13,35,No,Travel_Rarely,817,Research & Development,1,Bachelor,3,Medical,1369,Very High,4,Female,60,Medium,2,2,Laboratory Technician,Very High,4,Married,5363,10846,0,No,12,Excellent,3,Medium,2,1,10,0,Better,3,9,7,0,0
14,56,Yes,Travel_Rarely,1162,Research & Development,24,College,2,Life Sciences,1907,Low,1,Male,97,High,3,1,Laboratory Technician,Very High,4,Single,2587,10261,1,No,16,Excellent,3,Very High,4,0,5,3,Better,3,4,2,1,0
15,55,No,Travel_Rarely,189,Human Resources,26,Master,4,Human Resources,1973,High,3,Male,71,Very High,4,5,Manager,Medium,2,Married,19636,25811,4,Yes,18,Excellent,3,Low,1,1,35,0,Better,3,10,9,1,4
